run_id,initial_state,final_potential,optimal_potential,convergence_gap,training_time,num_episodes,final_trajectory_length,is_nash_equilibrium,config_num_agents,config_state_dim,config_action_dim,config_history_len,config_episode_len,config_gamma,config_batch_size,config_use_episodic_freeze,config_use_baseline,config_learning_rate,config_init_states_tuple,config_seed,config_experiment_name,config_check_nash_equilibrium,agent_0_final_loss,agent_0_final_return,agent_1_final_loss,agent_1_final_return,agent_2_final_loss,agent_2_final_return
sweep_seed_1031410876,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1779.7969989776611,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",1031410876,classic_reinforce_1000exps_250batched_episodes,False,-12.470715522766113,344.4891357421875,-9.57872486114502,264.97515869140625,-5.12963342666626,264.9089050292969
sweep_seed_1078349150,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1739.8917396068573,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",1078349150,classic_reinforce_1000exps_250batched_episodes,False,-3.770968198776245,344.5466613769531,-9.723971366882324,264.9757080078125,-9.921236991882324,264.9407958984375
sweep_seed_1897483664,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1751.1719880104065,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",1897483664,classic_reinforce_1000exps_250batched_episodes,False,-12.321542739868164,343.18353271484375,-12.394562721252441,263.80108642578125,-11.226659774780273,263.7806701660156
sweep_seed_2634853374,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1738.1849150657654,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",2634853374,classic_reinforce_1000exps_250batched_episodes,False,-6.198829174041748,344.34228515625,-8.542167663574219,264.7245178222656,-11.244811058044434,264.8120422363281
sweep_seed_3299083934,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1763.5139708518982,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",3299083934,classic_reinforce_1000exps_250batched_episodes,False,-4.563566207885742,344.48321533203125,-10.475927352905273,264.8962707519531,-6.774670600891113,264.883056640625
sweep_seed_3313925213,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1758.423348903656,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",3313925213,classic_reinforce_1000exps_250batched_episodes,False,-4.719388484954834,344.869873046875,-4.296024799346924,265.2010192871094,-6.349565505981445,265.2146911621094
sweep_seed_3361118956,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1762.7146985530853,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",3361118956,classic_reinforce_1000exps_250batched_episodes,False,-4.572606086730957,344.3642578125,-10.411884307861328,264.8217468261719,-8.785075187683105,264.70025634765625
sweep_seed_3758412495,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1762.8458564281464,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",3758412495,classic_reinforce_1000exps_250batched_episodes,False,-10.13904857635498,344.3874206542969,-4.636913776397705,264.7976989746094,-8.092416763305664,264.8743591308594
sweep_seed_4143213144,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1762.4452056884766,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",4143213144,classic_reinforce_1000exps_250batched_episodes,False,-8.904571533203125,344.4530029296875,-5.5442047119140625,264.84014892578125,-8.9623384475708,264.8746337890625
sweep_seed_945472433,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1744.141078710556,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",945472433,classic_reinforce_1000exps_250batched_episodes,False,-9.248270034790039,344.1155090332031,-8.213547706604004,264.52471923828125,-10.632364273071289,264.68548583984375
sweep_seed_976400780,"(2.0, 0.0, 2.0)",617.7245483398438,710.6050415039062,92.8804931640625,1745.2691996097565,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 0, 2)",976400780,classic_reinforce_1000exps_250batched_episodes,False,-4.930440902709961,344.1174621582031,-10.611544609069824,264.6305236816406,-6.755866527557373,264.57550048828125
sweep_seed_104832471,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1735.004915714264,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",104832471,classic_reinforce_1000exps_250batched_episodes,False,-10.5306978225708,344.401611328125,-7.286566734313965,264.8059997558594,-8.204568862915039,264.8609313964844
sweep_seed_1150928999,"(2.0, 1.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1771.8202147483826,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",1150928999,classic_reinforce_1000exps_250batched_episodes,False,-6.651878356933594,343.9823303222656,-6.961007118225098,264.5231018066406,-8.089882850646973,264.49774169921875
sweep_seed_2045988652,"(2.0, 1.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1740.3100447654724,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",2045988652,classic_reinforce_1000exps_250batched_episodes,False,-10.912003517150879,344.111083984375,-8.356433868408203,264.5847473144531,-11.562408447265625,264.6150817871094
sweep_seed_2079128458,"(2.0, 1.0, 0.0)",618.7245483398438,711.6050415039062,92.8804931640625,1764.1530475616455,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",2079128458,classic_reinforce_1000exps_250batched_episodes,False,-8.675217628479004,344.9522705078125,-5.028728485107422,265.3631896972656,-3.3714096546173096,265.2825927734375
sweep_seed_2904491693,"(2.0, 1.0, 0.0)",616.7245483398438,711.6050415039062,94.8804931640625,1733.3344399929047,250,65,True,3,3,3,1,64,0.99,64,False,True,0.001,"(2, 1, 0)",2904491693,classic_reinforce_1000exps_250batched_episodes,False,-4.97698450088501,344.40753173828125,-6.392932891845703,264.7585754394531,-8.709687232971191,264.860595703125
